Key,,,,,,,,
Stata A and Z,,State A is where service start and State Z is where it ends,,,,,,
MRR,,Monthly Recurring Revenue,,,,,,
Term,,How long the service term is,,,,,,
Service Count,,How many service for that customer,,,,,,
,,,,,,,,
ID/Name,Service Count,Service ID,Product,Total MRR,Term,Bandwidth,State A,State Z
957010,88,211581,Product E," $	19,286.05 ",36,10G,MN,WA
957010,88,211941,Product E," $	12,084.00 ",36,10G,WA,MN
957010,88,211942,Product E," $	4,783.25 ",36,10G,MN,IL
957010,88,211579,Product E," $	4,783.25 ",36,10G,IL,MN
957010,88,211580,Product E," $	19,286.05 ",36,10G,WA,MN
957010,88,211583,Product E," $	7,200.05 ",36,10G,WA,WA
957010,88,211582,Product E," $	4,783.25 ",36,10G,IL,MN
957010,88,212128,Product F," $	1,029.90 ",60,N/A,IL,
957010,88,212333,Product F, $	710.66 ,60,N/A,IL,
957010,88,212008,Product F," $	15,696.35 ",60,N/A,IL,
957010,88,212331,Product F, $	810.18 ,60,N/A,IL,
957010,88,212332,Product F, $	810.18 ,60,N/A,IL,
957010,88,212329,Product F, $	710.66 ,60,N/A,IL,
957010,88,212083,Product F, $	372.87 ,240,N/A,CA,CA
957010,88,212102,Product F, $	211.60 ,60,N/A,IL,
957010,88,212163,Product F," $	1,089.67 ",240,N/A,CA,
957010,88,212402,Product F, $	-00 ,120,N/A,WA,
957010,88,212404,Product F," $	1,663.97 ",240,N/A,WA,WA
957010,88,212434,Product F, $	563.66 ,240,N/A,WA,WA
957010,88,212330,Product F, $	710.66 ,60,N/A,IL,
957010,88,212327,Product F, $	710.66 ,60,N/A,IL,
957010,88,211219,Product A, $	431.00 ,12,DS1,WA,OR
957010,88,211214,Product A," $	2,076.26 ",12,DS3,WA,WA
957010,88,211211,Product A," $	2,477.52 ",12,DS3,OR,OR
957010,88,211202,Product A," $	1,523.66 ",36,DS3,WA,WA
957010,88,215563,Product E," $	13,139.32 ",36,10G,WV,WV
957010,88,13264,Other, $	-00 ,36,DS1,,
957010,88,13265,Other, $	-00 ,36,DS1,,
957010,88,13267,Other, $	-00 ,36,DS1,,
957010,88,13269,Other, $	-00 ,36,DS1,,
957010,88,13270,Other, $	-00 ,36,DS1,,
957010,88,13273,Other, $	-00 ,36,DS1,,
957010,88,13276,Other, $	-00 ,36,DS1,,
957010,88,13279,Other, $	-00 ,36,DS1,,
957010,88,13280,Other, $	-00 ,36,DS1,,
957010,88,13281,Other, $	-00 ,36,DS1,,
957010,88,13282,Other, $	-00 ,36,DS1,,
957010,88,13284,Other, $	-00 ,36,DS1,,
957010,88,13283,Other, $	330.30 ,60,N/A,,
957010,88,12744,Other, $	330.30 ,60,N/A,,
957010,88,12745,Other, $	-00 ,36,DS1,,
957010,88,12746,Other, $	-00 ,36,DS1,,
957010,88,12748,Other, $	-00 ,36,DS1,,
957010,88,12749,Other, $	-00 ,36,DS1,,
957010,88,12742,Other, $	-00 ,36,DS1,,
957010,88,12743,Other, $	-00 ,36,DS1,,
957010,88,205275,Product E," $	34,927.80 ",1,10G,VA,OH
957010,88,206518,Product E," $	20,252.77 ",60,10G,MN,MN
957010,88,207789,Product E," $	37,843.06 ",36,10G,WV,IL
957010,88,205721,Product E," $	47,403.69 ",48,10G,VA,MI
957010,88,194982,Product E," $	10,376.63 ",1,10G,IL,OH
957010,88,248103,Product F," $	3,515.79 ",12,N/A,MN,
957010,88,256631,Product E," $	5,347.17 ",36,10G,IL,WV
957010,88,258132,Product E," $	5,727.57 ",36,10G,OH,VA
957010,88,258136,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,258137,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,258138,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,258387,Product E," $	5,644.24 ",36,10G,VA,OH
957010,88,237485,Product E," $	22,041.22 ",29,10G,MI,VA
957010,88,235740,Product F," $	2,754.64 ",240,N/A,OR,
957010,88,235741,Product F," $	1,580.15 ",240,N/A,OR,
957010,88,241619,Product E," $	9,331.87 ",60,10G,WV,WV
957010,88,241617,Product E," $	12,053.79 ",36,10G,WV,IL
957010,88,241618,Product E," $	7,232.27 ",36,10G,WV,VA
957010,88,247069,Product E," $	4,783.25 ",36,10G,MN,IL
957010,88,244283,Product D," $	2,286.59 ",36,50Mb,WA,
957010,88,269080,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267206,Product D," $	1,173.36 ",36,30Mb,,
957010,88,267679,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267732,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267733,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,267734,Product E," $	5,644.24 ",36,10G,OH,IL
957010,88,274067,Product E," $	7,552.50 ",36,10G,WA,MN
957010,88,274005,Product F," $	17,518.36 ",66,N/A,IL,
957010,88,269763,Product E," $	21,821.69 ",12,10G,VA,MI
957010,88,273667,Product F, $	179.53 ,12,N/A,OH,
957010,88,258027,Product E," $	5,347.17 ",36,10G,VA,WV
957010,88,265985,Product E," $	8,317.82 ",36,10G,ID,WA
957010,88,265984,Product E," $	8,317.82 ",36,10G,ID,WA
957010,88,278331,Product E," $	9,048.94 ",36,10G,,
957010,88,291615,Product E," $	11,077.00 ",36,10G,IL,
957010,88,292171,Product E," $	11,077.00 ",36,10G,WV,
957010,88,293022,Product E," $	19,108.84 ",36,1G,ID,
957010,88,302448,Product E," $	5,941.30 ",36,10G,IL,
957010,88,290978,Product E," $	4,797.14 ",36,10G,MN,
957010,88,298413,Product E," $	5,941.30 ",36,10G,OH,
957010,88,289684,Product F," $	10,884.33 ",6,N/A,OH,
957010,88,296095,Product E," $	4,984.65 ",36,10G,,
450667,30,213130,Product E," $	6,015.05 ",36,10G,WA,WA
450667,30,213131,Product E," $	3,262.40 ",36,10G,WA,OR
450667,30,213177,Product F, $	468.45 ,12,N/A,OR,
450667,30,213193,Product D," $	1,510.50 ",36,1000Mb,WA,WA
450667,30,213185,Product F, $	936.90 ,36,N/A,UT,
450667,30,213186,Product F, $	936.90 ,36,N/A,WA,
450667,30,232930,Product E," $	3,058.50 ",60,10G,WA,WA
450667,30,232931,Product E," $	5,811.15 ",60,10G,OR,WA
450667,30,248777,Other," $	1,208.40 ",12,1000Mb,NY,
450667,30,251931,Product B, $	-00 ,12,Fiber Pair,NY,NY
450667,30,251835,Product F, $	-00 ,141,N/A,WA,
450667,30,253521,Product B, $	175.00 ,60,5Mb,NY,
450667,30,247881,Product E," $	2,769.25 ",60,10G,OR,NY
450667,30,247559,Product F," $	6,105.58 ",60,N/A,WA,
450667,30,251097,Product B," $	2,269.31 ",36,N/A,NY,
450667,30,251591,Product B, $	-00 ,12,Bulk Fiber,NY,NY
450667,30,258152,Product E," $	2,504.91 ",48,10G,WA,WA
450667,30,258149,Product E, $	-00 ,141,10G,WA,WA
450667,30,258150,Product E," $	2,504.91 ",48,10G,WA,WA
450667,30,258151,Product E, $	-00 ,141,10G,WA,WA
450667,30,258389,Product E," $	2,504.91 ",48,10G,WA,WA
450667,30,230562,Product F," $	7,147.00 ",60,N/A,WA,
450667,30,235515,Product F," $	4,146.50 ",120,N/A,WA,
450667,30,245948,Product E," $	3,524.50 ",60,10G,WA,WA
450667,30,246873,Product F," $	8,830.60 ",120,N/A,WA,
450667,30,246086,Product E," $	4,589.83 ",60,10G,WA,WA
450667,30,240493,Product E," $	3,071.35 ",60,10G,WA,WA
450667,30,240563,Product E," $	3,071.35 ",60,10G,WA,WA
450667,30,264033,Product E," $	2,504.91 ",48,10G,WA,WA
450667,30,290178,Product E," $	3,236.15 ",60,10G,NJ,WA
610306,6,270940,Product F," $	2,552.50 ",36,N/A,CA,
610306,6,276868,Product D," $	1,426.46 ",24,1G,,
610306,6,276706,Product F," $	21,134.70 ",36,N/A,CA,
610306,6,291806,Other," $	3,500.00 ",36,1G,,
610306,6,300654,Other," $	1,750.00 ",36,1.5G,,
610306,6,298716,Other," $	1,505.00 ",36,1G,,
870970,10,226815,Other," $	8,418.52 ",18,4G,CA,
870970,10,261404,Product E," $	2,847.38 ",36,2.5G,NY,DC
870970,10,231991,Product F," $	2,794.82 ",60,N/A,DC,DC
870970,10,231992,Product F," $	2,878.15 ",60,N/A,DC,DC
870970,10,231994,Product F," $	2,433.40 ",60,N/A,,DC
870970,10,231993,Product F," $	2,794.82 ",60,N/A,DC,DC
870970,10,232339,Product F," $	3,873.12 ",60,N/A,DC,DC
870970,10,231990,Product F," $	2,794.82 ",60,N/A,DC,DC
870970,10,231995,Product F," $	2,433.40 ",60,N/A,DC,DC
870970,10,271764,Product F," $	4,084.00 ",36,N/A,NY,
824568,10,223104,Product D," $	3,021.00 ",24,10G,,
824568,10,229930,Product D," $	2,014.00 ",18,1G,,
824568,10,230633,Product D," $	2,014.00 ",24,1G,CA,
824568,10,234524,Product D," $	1,191.28 ",12,100Mb,,
824568,10,248274,Product D," $	1,460.16 ",24,100Mb,CA,
824568,10,275161,Other, $	704.90 ,24,100Mb,,
824568,10,289850,Product E," $	6,500.19 ",24,1G,MN,MN
824568,10,277308,Other, $	687.53 ,12,100Mb,,
824568,10,280635,Product E," $	2,527.57 ",24,1G,MN,CA
824568,10,282298,Other," $	1,158.05 ",24,100Mb,,
890026,4,226176,Other," $	2,366.45 ",24,400Mb,MA,MA
890026,4,221521,Other, $	906.30 ,12,100Mb,TX,
890026,4,278663,Other," $	1,214.96 ",36,200Mb,,
890026,4,263515,Product D," $	29,734.30 ",36,4G,,
404549,12,238459,Product F," $	1,837.80 ",24,N/A,VA,
404549,12,230677,Other," $	4,971.56 ",18,2G,CA,
404549,12,230678,Other," $	4,971.56 ",18,4G,VA,
404549,12,230681,Other," $	2,841.75 ",12,250Mb,CA,
404549,12,230682,Other," $	1,452.09 ",18,50Mb,CA,
404549,12,234281,Product F," $	1,837.80 ",24,N/A,VA,
404549,12,235748,Product F," $	3,712.39 ",36,N/A,CA,
404549,12,240146,Product F," $	1,987.76 ",24,N/A,VA,
404549,12,261225,Other," $	2,908.22 ",12,1G,CA,
404549,12,261228,Other," $	2,908.22 ",12,1G,CA,
404549,12,279137,Product D," $	2,954.56 ",12,2G,,
404549,12,287976,Other," $	4,937.00 ",18,2G,,
580425,26,222707,Product D," $	3,524.50 ",12,1G,,
580425,26,223209,Product D," $	4,229.40 ",12,10G,IL,
580425,26,222706,Product D," $	2,769.24 ",12,1G,IL,
580425,26,226386,Other," $	6,495.15 ",12,2G,IL,
580425,26,226563,Other," $	3,725.90 ",12,1G,IL,
580425,26,227390,Product D," $	3,021.00 ",12,1G,,
580425,26,224484,Product F," $	7,402.25 ",12,N/A,IL,
580425,26,225297,Product F," $	5,564.45 ",12,N/A,IL,
580425,26,224037,Product F," $	4,594.50 ",12,N/A,NY,
580425,26,221670,Other," $	1,007.00 ",12,50Mb,NY,
580425,26,221278,Other," $	1,434.98 ",12,200Mb,IL,
580425,26,225887,Product F," $	9,044.02 ",36,N/A,,
580425,26,225210,Product F," $	8,116.95 ",12,N/A,IL,
580425,26,225250,Product F," $	6,126.00 ",36,N/A,,
580425,26,247535,Product F," $	6,381.25 ",12,N/A,NJ,
580425,26,261665,Other," $	1,000.00 ",12,100Mb,,
580425,26,259752,Product D," $	2,467.16 ",12,1G,,
580425,26,238356,Other," $	1,500.43 ",12,300Mb,IL,
580425,26,243995,Product D," $	2,500.13 ",12,1G,TX,
580425,26,241746,Product D," $	3,121.70 ",12,10G,IL,
580425,26,262393,Other, $	979.56 ,12,100Mb,,
580425,26,292368,Other, $	704.90 ,12,100Mb,IL,
580425,26,298236,Product F," $	5,921.80 ",12,N/A,NJ,
580425,26,281306,Product F," $	14,549.25 ",12,N/A,NJ,
580425,26,288756,Product D," $	3,423.80 ",12,1G,NJ,
580425,26,287816,Product E," $	3,350.00 ",12,10G,,
174769,4,227128,Product D," $	14,273.00 ",41,1G,,
174769,4,249992,Other," $	7,136.50 ",36,1G,VA,
174769,4,239267,Product F, $	370.43 ,36,N/A,VA,
174769,4,232032,Product F," $	3,174.00 ",36,N/A,,VA
941572,23,236858,Product B, $	254.07 ,36,DS3 (Coax),TX,TX
941572,23,234393,Product E," $	25,416.28 ",36,1G,TX,TX
941572,23,230834,Product B," $	1,219.56 ",36,Fiber Pair,TX,TX
941572,23,230835,Product B," $	1,219.56 ",36,Fiber Pair,TX,TX
941572,23,230837,Product B, $	152.44 ,36,Fiber Pair,TX,TX
941572,23,230838,Product B, $	76.22 ,36,Fiber Pair,TX,TX
941572,23,230839,Product B, $	76.22 ,36,Fiber Pair,TX,TX
941572,23,230841,Product B, $	76.22 ,36,Fiber Pair,TX,TX
941572,23,230840,Product B, $	76.22 ,36,Fiber Pair,TX,TX
941572,23,244301,Product B," $	7,662.90 ",24,NULL,TX,
941572,23,244428,Product B, $	-00 ,12,Bulk Fiber,TX,TX
941572,23,245017,Product B, $	914.67 ,12,Fiber Pair,TX,TX
941572,23,244981,Other," $	7,083.49 ",36,300Mb,GA,
941572,23,226626,Other," $	7,580.49 ",36,3G,TX,
941572,23,227634,Product D," $	7,997.48 ",36,10G,,
941572,23,227635,Product D," $	7,997.48 ",36,10G,,
941572,23,221332,Other," $	7,580.49 ",36,3G,TX,
941572,23,275590,Product D," $	1,714.80 ",12,1G,,
941572,23,270027,Other," $	1,562.50 ",12,300Mb,,
941572,23,289296,Product D," $	5,168.88 ",12,2G,,
941572,23,289292,Other," $	5,731.52 ",60,5G,,
941572,23,289293,Product D," $	3,976.06 ",12,2G,,
941572,23,289295,Product D," $	5,377.86 ",24,10G,,
959691,8,231767,Product D," $	5,538.50 ",12,100Mb,CA,
959691,8,252670,Product E," $	3,007.53 ",24,10G,AZ,CA
959691,8,247868,Product F," $	3,072.85 ",24,N/A,AZ,
959691,8,219133,Product E," $	2,242.90 ",24,10G,AZ,CA
959691,8,223925,Product F," $	6,328.15 ",36,N/A,AZ,
959691,8,267689,Product F," $	13,669.96 ",60,N/A,VA,
959691,8,267705,Product F," $	6,062.58 ",60,N/A,VA,
959691,8,287424,Product F," $	3,259.03 ",22,N/A,VA,
729199,11,222510,Product D," $	6,444.80 ",1,2G,VA,
729199,11,222714,Product D," $	6,444.80 ",1,2G,VA,
729199,11,239008,Product D," $	6,444.80 ",1,2G,IL,
729199,11,239007,Product D," $	6,444.80 ",1,2G,VA,
729199,11,236837,Product D," $	4,599.48 ",1,10G,CA,
729199,11,236033,Product D," $	4,599.48 ",1,10G,CA,
729199,11,234840,Other," $	2,739.04 ",12,1000Mb,CA,
729199,11,268194,Other," $	38,266.00 ",12,40G,IL,
729199,11,300538,Product E," $	2,686.68 ",12,10G,CA,
729199,11,293347,Other," $	1,965.66 ",12,1G,VA,
729199,11,299219,Product E," $	2,686.68 ",12,10G,CA,
448353,10,230505,Product D," $	3,284.90 ",12,1G,FL,
448353,10,245231,Product D," $	2,759.62 ",12,1G,CA,
448353,10,254056,Other," $	15,644.85 ",36,3G,CA,
448353,10,258965,Product E," $	6,250.00 ",24,10G,,
448353,10,278288,Product E," $	9,063.00 ",36,10G,VA,
448353,10,278116,Product D," $	2,098.72 ",24,1G,,
448353,10,270124,Product E," $	11,580.50 ",48,10G,CA,VA
448353,10,297729,Product E," $	6,948.30 ",24,10G,VA,
448353,10,287311,Product D," $	1,510.50 ",36,1G,VA,
448353,10,280765,Product E," $	11,580.50 ",36,10G,,
191253,5,239727,Product D," $	2,819.60 ",24,1G,NJ,
191253,5,239729,Product D," $	6,042.00 ",24,10G,NJ,
191253,5,238994,Other," $	3,524.50 ",12,500Mb,NJ,
191253,5,241665,Product D," $	2,014.00 ",24,1G,NJ,
191253,5,220097,Product E, $	-00 ,24,1G,NY,NJ
360311,10,221330,Other," $	5,160.46 ",36,1000Mb,TX,
360311,10,222553,Product D," $	3,140.06 ",36,1G,TX,
360311,10,227333,Product D," $	5,909.02 ",36,10G,TX,
360311,10,227339,Product D," $	8,340.52 ",36,10G,TX,
360311,10,248402,Product D," $	4,731.76 ",36,10G,TX,
360311,10,248401,Product D," $	4,731.76 ",36,10G,TX,
360311,10,230327,Product D," $	2,453.72 ",36,1G,TX,
360311,10,230328,Product D," $	2,453.72 ",36,1G,TX,
360311,10,273755,Product D," $	1,779.47 ",36,1G,,
360311,10,294405,Other," $	1,064.36 ",36,100Mb,TX,
721656,17,222035,Other," $	3,147.20 ",12,200Mb,VA,
721656,17,223060,Product D," $	3,160.46 ",24,1G,,
721656,17,223201,Product D," $	3,160.46 ",24,1G,,
721656,17,234070,Other," $	23,665.98 ",24,4G,CO,
721656,17,221092,Other," $	1,367.19 ",27,2.5G,,
721656,17,222037,Other," $	3,147.20 ",12,200Mb,VA,
721656,17,221091,Other," $	1,093.75 ",27,2.5G,,
721656,17,231624,Product D," $	24,948.95 ",12,2G,,
721656,17,252553,Product F, $	553.65 ,36,N/A,VA,
721656,17,252636,Product F, $	553.65 ,36,N/A,VA,
721656,17,252637,Product F, $	553.65 ,36,N/A,VA,
721656,17,261451,Product E," $	1,456.36 ",36,10G,NY,VA
721656,17,261457,Product E," $	1,428.58 ",36,10G,NY,VA
721656,17,261237,Product F," $	3,271.89 ",60,N/A,AZ,
721656,17,261810,Product D," $	2,230.16 ",26,2G,,
721656,17,269492,Product F, $	702.48 ,36,N/A,VA,
721656,17,269144,Product F, $	702.48 ,36,N/A,VA,
797980,9,269113,Product D," $	2,140.96 ",27,100Mb,,
797980,9,268553,Product D," $	1,512.92 ",36,10Mb,,
797980,9,268554,Product D," $	1,631.20 ",36,10Mb,,
797980,9,231021,Product B, $	-00 ,60,N/A,IL,IL
797980,9,249011,Other," $	6,042.00 ",48,1G,IL,
797980,9,251386,Product E," $	2,712.09 ",48,1G,IL,IL
797980,9,227050,Product B, $	-00 ,60,NULL,IL,
797980,9,227048,Product B, $	-00 ,60,NULL,IL,
797980,9,220100,Product E," $	64,448.08 ",36,10G,IL,IL
258844,3,226115,Other," $	5,001.77 ",12,1000Mb,TX,
258844,3,222436,Product D," $	3,524.50 ",24,1G,TX,
258844,3,254250,Product E," $	5,154.97 ",24,10G,TX,TX
912303,9,244356,Product E," $	7,136.50 ",12,10G,CA,CA
912303,9,282776,Product B, $	-00 ,60,N/A,CA,
912303,9,282783,Product B," $	4,635.00 ",60,N/A,CA,
912303,9,282784,Product B," $	123,488.51 ",60,N/A,CA,
912303,9,286188,Product B, $	500.00 ,60,Fiber Pair,CA,CA
912303,9,286198,Product B, $	10.00 ,60,DS0,CA,CA
912303,9,284208,Product B, $	-00 ,60,Fiber Pair,CA,CA
912303,9,284207,Product B, $	-00 ,60,Fiber Pair,CA,CA
912303,9,284217,Product B, $	-00 ,60,Fiber Pair,CA,CA
163318,2,276881,Product D," $	4,740.68 ",36,1G,,
163318,2,282081,Product D," $	2,507.98 ",36,1G,,
251358,5,247183,Other," $	1,019.50 ",24,100Mb,PA,
251358,5,247180,Other," $	1,529.25 ",24,150Mb,PA,
251358,5,247064,Other," $	1,082.00 ",24,100Mb,NY,
251358,5,245270,Other," $	1,529.25 ",24,150Mb,PA,
251358,5,262373,Product D," $	2,242.90 ",24,1G,,
867725,37,245179,Product D," $	2,769.98 ",12,1G,IN,
867725,37,266595,Product D, $	700.00 ,36,200Mb,,
867725,37,266327,Product B, $	25.66 ,12,Fiber Pair,,
867725,37,266734,Product D," $	1,275.00 ",36,100Mb,,
867725,37,265519,Product B, $	-00 ,36,Fiber Pair,,
867725,37,265520,Product B, $	-00 ,36,Fiber Pair,,
867725,37,265521,Product B, $	-00 ,36,Fiber Pair,,
867725,37,265844,Other, $	560.00 ,36,50Mb,,
867725,37,264254,Product B," $	1,231.80 ",36,Rack,,
867725,37,264252,Product B," $	2,053.00 ",36,Rack,,
867725,37,294014,Product B, $	154.17 ,36,Fiber Pair,IL,IL
867725,37,284332,Product B, $	-00 ,60,Fiber Pair,IL,IL
867725,37,284333,Product B, $	-00 ,60,Fiber Pair,IL,IL
867725,37,284334,Product B, $	-00 ,36,Fiber Pair,IL,IL
867725,37,285544,Product B, $	150.00 ,36,Fiber Pair,IL,IL
867725,37,285545,Product B, $	50.00 ,36,FE (Cat6),IL,IL
867725,37,285546,Product B, $	10.00 ,36,DS0,IL,IL
867725,37,285547,Product B, $	50.00 ,36,FE (Cat6),IL,IL
867725,37,285509,Product B, $	50.00 ,36,FE (Cat6),IL,IL
867725,37,285507,Product B, $	150.00 ,36,Fiber Pair,IL,IL
867725,37,285534,Product B, $	50.00 ,36,FE (Cat6),IL,IL
867725,37,285535,Product B, $	150.00 ,36,Fiber Pair,IL,IL
867725,37,285519,Product B, $	150.00 ,36,Fiber Pair,IL,IL
867725,37,285520,Product B, $	10.00 ,36,DS0,IL,IL
867725,37,285521,Product B, $	10.00 ,36,DS0,IL,IL
867725,37,285510,Product B, $	150.00 ,36,Fiber Pair,IL,IL
867725,37,285511,Product B, $	50.00 ,36,FE (Cat5),IL,IL
867725,37,283182,Product B," $	66,731.90 ",36,N/A,IL,
867725,37,296205,Product B, $	50.00 ,36,FE (Cat6),IL,IL
867725,37,296206,Product B, $	50.00 ,36,FE (Cat5),IL,IL
867725,37,296207,Product B, $	50.00 ,36,FE (Cat6),IL,IL
867725,37,296204,Product B, $	150.00 ,36,Fiber Pair,IL,IL
867725,37,296203,Product B, $	10.00 ,36,DS0,IL,IL
867725,37,296202,Product B, $	10.00 ,36,DS0,IL,IL
867725,37,296201,Product B, $	10.00 ,36,DS0,IL,IL
867725,37,295522,Product B, $	-00 ,60,Fiber Pair,IL,IL
867725,37,295521,Product B, $	-00 ,60,Fiber Pair,IL,IL
760718,15,248291,Other," $	2,446.80 ",12,2G,CA,
760718,15,261231,Product B, $	457.34 ,28,N/A,IL,
760718,15,261221,Other," $	2,446.80 ",12,2G,,
760718,15,261804,Product B, $	304.89 ,12,Fiber Pair,IL,IL
760718,15,262082,Product B, $	508.15 ,12,N/A,IL,
760718,15,259620,Product B, $	-00 ,28,Fiber Pair,IL,IL
760718,15,259123,Product B," $	26,661.96 ",28,N/A,IL,
760718,15,267212,Product B, $	508.15 ,12,N/A,IL,
760718,15,292095,Product B," $	6,865.58 ",24,N/A,IL,
760718,15,291977,Product B, $	-00 ,24,Bulk Fiber,IL,IL
760718,15,291989,Product D," $	3,695.20 ",12,10G,NV,
760718,15,302674,Product B, $	304.89 ,12,10Mb,NV,
760718,15,297882,Product B, $	228.67 ,12,Fiber Pair,NV,NV
760718,15,282579,Product B, $	824.73 ,12,Fiber Pair,NV,NV
760718,15,280855,Product B, $	-00 ,24,Bulk Fiber,NV,NV
212246,10,278737,Product E," $	5,538.50 ",24,10G,,
212246,10,226479,Other," $	1,812.60 ",12,200Mb,IL,
212246,10,220042,Product E," $	8,084.20 ",24,10G,IL,TX
212246,10,219661,Product E," $	2,575.91 ",1,1G,NJ,TX
212246,10,246376,Other," $	5,035.00 ",24,1000Mb,IL,
212246,10,247404,Other," $	3,650.38 ",24,1G,TX,
212246,10,230312,Product D," $	2,361.42 ",24,1G,,
212246,10,248398,Product D," $	3,272.76 ",24,1G,IL,
212246,10,292750,Product E," $	4,909.13 ",24,1G,AZ,
212246,10,293072,Product E," $	65,455.00 ",24,40G,,
812744,4,275823,Product E," $	2,036.57 ",48,1G,IL,IL
812744,4,250019,Product E," $	55,063.52 ",60,1G,IL,IL
812744,4,249891,Product E," $	1,780.65 ",60,1G,IL,IL
812744,4,249102,Product E," $	1,802.32 ",60,1G,IL,IL
367495,3,246552,Product B," $	47,380.00 ",36,N/A,AZ,
367495,3,246553,Product B," $	99,498.00 ",36,N/A,AZ,
367495,3,288995,Product B, $	745.83 ,60,N/A,AZ,
435349,48,232290,Product F," $	1,450.00 ",6,N/A,MD,DC
435349,48,232278,Product F," $	1,450.00 ",6,N/A,MD,DC
435349,48,232279,Product F," $	1,450.00 ",6,N/A,MD,DC
435349,48,232281,Product F," $	1,450.00 ",6,N/A,MD,DC
435349,48,232282,Product F," $	2,870.00 ",6,N/A,MD,DC
435349,48,232283,Product F," $	2,870.00 ",6,N/A,MD,DC
435349,48,232284,Product F," $	1,400.00 ",6,N/A,MD,DC
435349,48,232286,Product F," $	1,450.00 ",6,N/A,MD,DC
